merchant_id,risk_score,decision,industry_risk,business_age_risk,chargeback_risk,velocity_risk,geographic_risk,pattern_risk,risk_factors,scored_at
MERCH_00000000,34.31,REVIEW,19.047619047619047,15,75,20,30,25,Elevated chargeback rate: 4.05%,2026-02-13 04:09:37.312551
MERCH_00000001,32.49,REVIEW,76.19047619047619,25,10,20,20,50,High-risk industry: Gambling,2026-02-13 04:09:37.360979
MERCH_00000002,24.95,APPROVE,4.761904761904761,60,10,20,35,50,No website presence,2026-02-13 04:09:37.408111
MERCH_00000003,17.7,APPROVE,4.761904761904761,15,10,20,30,50,,2026-02-13 04:09:37.451781
MERCH_00000004,38.95,REVIEW,4.761904761904761,80,50,20,45,50,New business: 37 days; No website presence,2026-02-13 04:09:37.492354
MERCH_00000005,46.24,REVIEW,76.19047619047619,25,75,20,20,25,High-risk industry: Gambling; Elevated chargeback rate: 4.28%,2026-02-13 04:09:37.544867
MERCH_00000006,27.45,APPROVE,4.761904761904761,40,10,50,30,50,,2026-02-13 04:09:37.594786
MERCH_00000007,31.82,REVIEW,42.857142857142854,25,30,20,30,50,,2026-02-13 04:09:37.644337
MERCH_00000008,24.15,APPROVE,9.523809523809526,25,50,20,20,0,,2026-02-13 04:09:37.696973
MERCH_00000009,31.0,REVIEW,0.0,40,50,20,35,50,No website presence,2026-02-13 04:09:37.747897
MERCH_00000010,28.96,APPROVE,28.57142857142857,25,50,20,30,0,,2026-02-13 04:09:37.801494
MERCH_00000011,21.06,APPROVE,19.047619047619047,25,10,20,20,50,,2026-02-13 04:09:37.851516
MERCH_00000012,30.31,REVIEW,19.047619047619047,80,10,20,30,50,New business: 30 days,2026-02-13 04:09:37.899185
MERCH_00000013,25.81,APPROVE,19.047619047619047,80,10,20,35,0,New business: 30 days; No website presence,2026-02-13 04:09:37.942944
MERCH_00000014,35.65,REVIEW,9.523809523809526,60,75,20,20,0,Elevated chargeback rate: 3.78%,2026-02-13 04:09:37.991483
MERCH_00000015,18.95,APPROVE,4.761904761904761,40,10,20,30,25,,2026-02-13 04:09:38.039202
MERCH_00000016,32.95,REVIEW,4.761904761904761,15,75,20,20,50,Elevated chargeback rate: 2.11%,2026-02-13 04:09:38.091181
MERCH_00000017,26.82,APPROVE,42.857142857142854,25,10,20,30,50,,2026-02-13 04:09:38.141453
MERCH_00000018,34.07,REVIEW,42.857142857142854,80,10,20,45,25,New business: 61 days; No website presence,2026-02-13 04:09:38.195724
MERCH_00000019,30.4,REVIEW,9.523809523809526,25,75,20,20,0,Elevated chargeback rate: 2.88%,2026-02-13 04:09:38.246651
MERCH_00000020,17.25,APPROVE,0.0,15,10,20,35,50,,2026-02-13 04:09:38.298777
MERCH_00000021,37.21,REVIEW,28.57142857142857,80,50,20,30,0,New business: 30 days,2026-02-13 04:09:38.351246
MERCH_00000022,12.25,APPROVE,0.0,15,10,20,20,15,,2026-02-13 04:09:38.401629
MERCH_00000023,42.7,REVIEW,4.761904761904761,80,75,20,20,50,New business: 85 days; Elevated chargeback rate: 3.78%,2026-02-13 04:09:38.451799
MERCH_00000024,40.21,REVIEW,28.57142857142857,25,95,20,30,0,Elevated chargeback rate: 8.71%,2026-02-13 04:09:38.500598
MERCH_00000025,43.25,REVIEW,0.0,40,75,50,35,50,Elevated chargeback rate: 3.40%; No website presence,2026-02-13 04:09:38.547847
MERCH_00000026,36.7,REVIEW,4.761904761904761,40,75,20,20,50,Elevated chargeback rate: 2.36%,2026-02-13 04:09:38.603446
MERCH_00000027,29.74,APPROVE,76.19047619047619,40,10,20,20,0,High-risk industry: Gambling,2026-02-13 04:09:38.656532
MERCH_00000028,40.15,REVIEW,9.523809523809526,80,75,20,35,0,New business: 30 days; Elevated chargeback rate: 2.66%,2026-02-13 04:09:38.705933
