merchant_id,business_name,industry,industry_risk_weight,business_type,business_age_days,monthly_revenue,chargeback_rate,country,region,has_website,has_social_media,onboarding_date,is_fraud,fraud_type,risk_score_x,risk_score_y,decision,risk_factors
MERCH_00000000,Elite Virtual,E-commerce,1.3,Sole Proprietorship,1098,132099.55,0.0405,GB,International,True,True,2023-02-11 04:06:30.136353,False,,,34.31,REVIEW,Elevated chargeback rate: 4.05%
MERCH_00000001,Elite Gaming,Gambling,2.5,LLC,652,20920.0,0.0,US,Northeast,True,True,2024-05-02 04:06:30.136666,False,,,32.49,REVIEW,High-risk industry: Gambling
MERCH_00000002,Pro Market Solutions,Retail,1.0,LLC,126,17409.35,0.0,US,Midwest,False,True,2025-10-10 04:06:30.137067,False,,,24.95,APPROVE,No website presence
MERCH_00000003,Elite Mart Corp,Retail,1.0,Sole Proprietorship,1085,20309.02,0.0042,GB,International,True,True,2023-02-24 04:06:30.137326,False,,,17.7,APPROVE,
MERCH_00000004,First Goods Solutions,Retail,1.0,Partnership,37,6328.82,0.0116,US,West,False,False,2024-09-18 04:06:30.137599,True,identity_theft,,38.95,REVIEW,New business: 37 days; No website presence
MERCH_00000005,Advanced Bet,Gambling,2.5,Partnership,679,74236.21,0.0428,US,Southeast,True,True,2024-04-05 04:06:30.137847,False,,,46.24,REVIEW,High-risk industry: Gambling; Elevated chargeback rate: 4.28%
MERCH_00000006,Prime Shop Solutions,Retail,1.0,Sole Proprietorship,200,5000.0,0.0,US,Midwest,True,False,2025-07-28 04:06:30.138108,False,,,27.45,APPROVE,
MERCH_00000007,Software Ltd,Digital Goods,1.8,Corporation,692,13033.46,0.0078,US,West,True,False,2024-03-23 04:06:30.138355,False,,,31.82,REVIEW,
MERCH_00000008,Smart Support,Services,1.1,Corporation,522,471149.0,0.0168,US,Northeast,True,True,2024-09-09 04:06:30.138600,False,,,24.15,APPROVE,
MERCH_00000009,Superior Bistro Services,Food & Beverage,0.9,Sole Proprietorship,302,15470.75,0.0185,US,Midwest,False,True,2025-04-17 04:06:30.138870,False,,,31.0,REVIEW,No website presence
MERCH_00000010,Pro Voyages Solutions,Travel,1.5,Corporation,366,73530.35,0.0163,US,Southwest,True,False,2025-02-12 04:06:30.139417,False,,,28.96,APPROVE,
MERCH_00000011,Elite Digital,E-commerce,1.3,LLC,380,13552.43,0.0,US,Northeast,True,True,2025-01-29 04:06:30.139722,False,,,21.06,APPROVE,
MERCH_00000012,Prime Online,E-commerce,1.3,Corporation,30,14055.27,0.0,US,Southeast,True,False,2026-01-14 04:06:30.139972,False,,,30.31,REVIEW,New business: 30 days
MERCH_00000013,Elite Web Solutions,E-commerce,1.3,LLC,30,319752.45,0.0,US,West,False,True,2026-01-14 04:06:30.140191,False,,,25.81,APPROVE,New business: 30 days; No website presence
MERCH_00000014,Superior Support Corp,Services,1.1,Sole Proprietorship,167,411509.03,0.0378,US,Northeast,True,True,2025-08-30 04:06:30.140392,False,,,35.65,REVIEW,Elevated chargeback rate: 3.78%
MERCH_00000015,Superior Mart,Retail,1.0,LLC,261,132376.89,0.0,US,Northeast,True,False,2025-05-28 04:06:30.140575,False,,,18.95,APPROVE,
MERCH_00000016,First Goods Inc,Retail,1.0,Partnership,943,29280.02,0.0211,US,Southeast,True,True,2023-07-16 04:06:30.140770,False,,,32.95,REVIEW,Elevated chargeback rate: 2.11%
MERCH_00000017,Global Tech Corp,Digital Goods,1.8,Corporation,365,7819.31,0.0,US,Midwest,True,False,2025-02-13 04:06:30.140938,False,,,26.82,APPROVE,
MERCH_00000018,Advanced Tech,Digital Goods,1.8,LLC,61,64992.54,0.0,US,Midwest,False,False,2025-03-10 04:06:30.141073,True,shell_company,,34.07,REVIEW,New business: 61 days; No website presence
MERCH_00000019,Advisory Inc,Services,1.1,LLC,382,94514.42,0.0288,US,Southwest,True,True,2025-01-27 04:06:30.141212,False,,,30.4,REVIEW,Elevated chargeback rate: 2.88%
MERCH_00000020,Elite Cafe Group,Food & Beverage,0.9,LLC,863,5000.0,0.0,FR,International,True,True,2023-10-04 04:06:30.141350,False,,,17.25,APPROVE,
MERCH_00000021,Voyages Inc,Travel,1.5,Corporation,30,49138.75,0.0138,US,West,True,False,2026-01-14 04:06:30.141520,False,,,37.21,REVIEW,New business: 30 days
MERCH_00000022,Prime Eats Co,Food & Beverage,0.9,LLC,1433,36083.57,0.0005,US,Northeast,True,True,2022-03-13 04:06:30.141711,False,,,12.25,APPROVE,
MERCH_00000023,Smart Market Services,Retail,1.0,Corporation,85,8939.17,0.0378,US,Southeast,True,True,2025-11-20 04:06:30.141903,False,,,42.7,REVIEW,New business: 85 days; Elevated chargeback rate: 3.78%
MERCH_00000024,Pro Trips Corp,Travel,1.5,LLC,606,108266.37,0.0871,US,Southwest,True,False,2024-06-17 04:06:30.142081,False,,,40.21,REVIEW,Elevated chargeback rate: 8.71%
MERCH_00000025,Pro Eats,Food & Beverage,0.9,Corporation,210,8263.31,0.034,US,West,False,True,2025-07-18 04:06:30.142218,False,,,43.25,REVIEW,Elevated chargeback rate: 3.40%; No website presence
MERCH_00000026,Smart Goods Co,Retail,1.0,Corporation,269,17099.81,0.0236,US,Southwest,True,True,2025-05-20 04:06:30.142368,False,,,36.7,REVIEW,Elevated chargeback rate: 2.36%
MERCH_00000027,Pro Gaming Solutions,Gambling,2.5,LLC,265,240820.69,0.0,US,Midwest,True,True,2025-05-24 04:06:30.142516,False,,,29.74,APPROVE,High-risk industry: Gambling
MERCH_00000028,Smart Consulting,Services,1.1,LLC,30,42048.04,0.0266,FR,International,True,True,2026-01-14 04:06:30.142643,False,,,40.15,REVIEW,New business: 30 days; Elevated chargeback rate: 2.66%
MERCH_00000029,Advanced Support,Services,1.1,LLC,295,6833.08,0.0469,CA,Quebec,True,True,2025-04-24 04:06:30.142782,False,,,38.15,REVIEW,Elevated chargeback rate: 4.69%
MERCH_00000030,Market Ltd,Retail,1.0,Corporation,705,35020.55,0.0474,DE,International,False,True,2024-03-10 04:06:30.142910,False,,,31.95,REVIEW,Elevated chargeback rate: 4.74%; No website presence
MERCH_00000031,Smart Shop Solutions,Retail,1.0,Partnership,1087,30735.85,0.0205,US,Southeast,True,True,2023-02-22 04:06:30.143057,False,,,32.95,REVIEW,Elevated chargeback rate: 2.05%
MERCH_00000032,Global Software Co,Digital Goods,1.8,Sole Proprietorship,369,124434.67,0.0307,US,Southwest,False,False,2025-02-09 04:06:30.143204,False,,,42.07,REVIEW,Elevated chargeback rate: 3.07%; No website presence
MERCH_00000033,Superior Apps,Digital Goods,1.8,Corporation,213,48937.247350914295,0.0426,US,West,True,False,2025-11-26 04:06:30.143340,True,bustout,,42.82,REVIEW,Elevated chargeback rate: 4.26%
MERCH_00000034,Global Support Co,Services,1.1,Sole Proprietorship,361,86059.93,0.0216,US,West,True,False,2025-02-17 04:06:30.143485,False,,,33.65,REVIEW,Elevated chargeback rate: 2.16%
MERCH_00000035,Global Mart Solutions,Retail,1.0,Corporation,105,239256.57,0.0146,FR,International,True,False,2025-10-31 04:06:30.143621,False,,,30.95,REVIEW,
MERCH_00000036,Cafe Group,Food & Beverage,0.9,Sole Proprietorship,639,139066.53,0.0038,US,Southwest,False,True,2024-05-15 04:06:30.143758,False,,,13.75,APPROVE,No website presence
MERCH_00000037,Advanced Bistro,Food & Beverage,0.9,Sole Proprietorship,31,67686.33,0.0,US,Midwest,False,False,2026-01-13 04:06:30.143894,False,,,25.5,APPROVE,New business: 31 days; No website presence
MERCH_00000038,Advanced Casino,Gambling,2.5,Corporation,2009,500000.0,0.0181,CA,Ontario,True,True,2020-08-14 04:06:30.144037,False,,,36.49,REVIEW,High-risk industry: Gambling
MERCH_00000039,Pro Mart,Retail,1.0,LLC,629,24666.98,0.0146,US,Midwest,False,False,2024-05-25 04:06:30.144174,False,,,30.7,REVIEW,No website presence
MERCH_00000040,Prime Cafe,Food & Beverage,0.9,Sole Proprietorship,157,39104.01,0.0472,US,Midwest,True,True,2025-09-09 04:06:30.144309,False,,,37.75,REVIEW,Elevated chargeback rate: 4.72%
MERCH_00000041,Kitchen Co,Food & Beverage,0.9,LLC,493,132073.71,0.0207,US,Northeast,True,True,2024-10-08 04:06:30.144444,False,,,28.5,APPROVE,Elevated chargeback rate: 2.07%
MERCH_00000042,Global Bistro Ltd,Food & Beverage,0.9,Partnership,209,5000.0,0.022,CA,Quebec,False,True,2025-07-19 04:06:30.144593,False,,,37.75,REVIEW,Elevated chargeback rate: 2.20%; No website presence
MERCH_00000043,Care Corp,Services,1.1,Partnership,434,500000.0,0.0,US,Northeast,False,True,2024-12-06 04:06:30.144728,False,,,15.65,APPROVE,No website presence
MERCH_00000044,Digital Solutions,E-commerce,1.3,Sole Proprietorship,67,8152.62,0.0418,US,Southeast,True,True,2025-12-08 04:06:30.144865,False,,,45.56,REVIEW,New business: 67 days; Elevated chargeback rate: 4.18%
MERCH_00000045,Prime Online Co,E-commerce,1.3,Corporation,613,12992.87,0.0198,US,Midwest,False,False,2024-06-10 04:06:30.145011,False,,,33.56,REVIEW,No website presence
MERCH_00000046,Apps Group,Digital Goods,1.8,Partnership,292,31418.86,0.0,US,Southeast,True,True,2025-04-27 04:06:30.145146,False,,,23.07,APPROVE,
MERCH_00000047,First Trips Inc,Travel,1.5,Sole Proprietorship,665,5000.0,0.0,US,West,False,False,2024-04-19 04:06:30.145290,False,,,25.46,APPROVE,No website presence
MERCH_00000048,First Kitchen Solutions,Food & Beverage,0.9,LLC,472,19022.27,0.0371,GB,International,True,False,2024-10-29 04:06:30.145427,False,,,30.5,REVIEW,Elevated chargeback rate: 3.71%
MERCH_00000049,Elite Journeys,Travel,1.5,LLC,30,5000.0,0.0046,US,Midwest,False,False,2026-01-14 04:06:30.145562,False,,,33.71,REVIEW,New business: 30 days; No website presence
MERCH_00000050,Prime Bistro Services,Food & Beverage,0.9,Corporation,238,406349.4,0.0022,US,Southeast,False,True,2025-06-20 04:06:30.145706,False,,,16.0,APPROVE,No website presence
MERCH_00000051,Advanced Virtual Corp,E-commerce,1.3,Corporation,209,33378.53,0.0244,US,Northeast,True,True,2025-07-19 04:06:30.145852,False,,,39.56,REVIEW,Elevated chargeback rate: 2.44%
MERCH_00000052,Eats LLC,Food & Beverage,0.9,Sole Proprietorship,673,60587.26,0.0004,US,West,True,True,2024-04-11 04:06:30.145987,False,,,13.75,APPROVE,
MERCH_00000053,Elite Consulting,Services,1.6500000000000001,LLC,72,67726.66132971637,0.06525,FR,International,True,True,2025-12-03 04:06:30.146113,True,transaction_laundering,,54.39,REVIEW,New business: 72 days; Elevated chargeback rate: 6.53%
MERCH_00000054,Shop Solutions,Retail,1.5,Corporation,119,109674.18869173869,0.0,DE,International,True,True,2025-10-17 04:06:30.146238,True,transaction_laundering,,26.71,APPROVE,
MERCH_00000055,Cafe Ltd,Food & Beverage,0.9,Sole Proprietorship,43,7948.18,0.0216,US,West,True,False,2024-12-16 04:06:30.146372,True,shell_company,,42.75,REVIEW,New business: 43 days; Elevated chargeback rate: 2.16%
MERCH_00000056,Elite Eats,Food & Beverage,0.9,Corporation,940,158398.54,0.0,CA,Prairies,True,True,2023-07-19 04:06:30.146508,False,,,11.25,APPROVE,
MERCH_00000057,First Bistro LLC,Food & Beverage,0.9,Corporation,41,491619.05,0.0,US,Northeast,True,True,2026-01-03 04:06:30.146657,False,,,20.5,APPROVE,New business: 41 days
MERCH_00000058,Mart Corp,Retail,1.0,LLC,807,500000.0,0.0276,US,Northeast,True,True,2023-11-29 04:06:30.146796,False,,,27.95,APPROVE,Elevated chargeback rate: 2.76%
MERCH_00000059,Advanced Market LLC,Retail,1.0,Sole Proprietorship,121,405702.82,0.0,Other,International,True,True,2025-10-15 04:06:30.146934,False,,,22.45,APPROVE,
MERCH_00000060,Prime Web Co,E-commerce,1.3,Partnership,244,165380.57,0.0129,CA,Quebec,True,False,2025-06-14 04:06:30.147080,False,,,31.31,REVIEW,
MERCH_00000061,First Eats,Food & Beverage,0.9,LLC,665,12774.92,0.0228,US,Northeast,True,False,2024-04-19 04:06:30.147215,False,,,34.5,REVIEW,Elevated chargeback rate: 2.28%
